001	一
002	丨
003	丶
004	丿
005	乙
006	亅
007	二
008	亠
009	人
010	儿
011	入
012	八
013	冂
014	冖
015	冫
016	几
017	凵
018	刀
019	力
020	勹
021	匕
022	匚
023	匸
024	十
025	卜
026	卩
027	厂
028	厶
029	又
030	口
031	囗
032	土
033	士
034	夂
035	夊
036	夕
037	大
038	女
039	子
040	宀
041	寸
042	小
043	尢
044	尸
045	屮
046	山
047	巛
048	工
049	己
050	巾
051	干
052	幺
053	广
054	廴
055	廾
056	弋
057	弓
058	彐
059	彡
060	彳
061	心
062	戈
063	戶
064	手
065	支
066	攴
067	文
068	斗
069	斤
070	方
071	无
072	日
073	曰
074	月
075	木
076	欠
077	止
078	歹
079	殳
080	毋
081	比
082	毛
083	氏
084	气
085	水
086	火
087	爪
088	父
089	爻
090	爿
091	片
092	牙
093	牛
094	犬
095	玄
096	玉
097	瓜
098	瓦
099	甘
100	生
101	用
102	田
103	疋
104	疒
105	癶
106	白
107	皮
108	皿
109	目
110	矛
111	矢
112	石
113	示
114	禸
115	禾
116	穴
117	立
118	竹
119	米
120	糸
121	缶
122	网
123	羊
124	羽
125	老
126	而
127	耒
128	耳
129	聿
130	肉
131	臣
132	自
133	至
134	臼
135	舌
136	舛
137	舟
138	艮
139	色
140	艸
141	虍
142	虫
143	血
144	行
145	衣
146	襾
147	見
148	角
149	言
150	谷
151	豆
152	豕
153	豸
154	貝
155	赤
156	走
157	足
158	身
159	車
160	辛
161	辰
162	辵
163	邑
164	酉
165	釆
166	里
167	金
168	長
169	門
170	阜
171	隶
172	隹
173	雨
174	靑
175	非
176	面
177	革
178	韋
179	韭
180	音
181	頁
182	風
183	飛
184	食
185	首
186	香
187	馬
188	骨
189	高
190	髟
191	鬥
192	鬯
193	鬲
194	鬼
195	魚
196	鳥
197	鹵
198	鹿
199	麥
200	麻
201	黃
202	黍
203	黑
204	黹
205	黽
206	鼎
207	鼓
208	鼠
209	鼻
210	齊
211	齒
212	龍
213	龜
214	龠
